CCLE.Cell.Line.Name,Primary.Cell.Line.Name,Compound,Target,Doses..uM.,Activity.Data..median.,Activity.SD,Num.Data,FitType,EC50..uM.,IC50..uM.,Amax,ActArea
1321N1_CENTRAL_NERVOUS_SYSTEM,1321N1,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","8.67,11.0,2.16,.27,-10,-13,-26,-43","3.31,3.72,5.36,4.67,13.1,.18,2.42,7.51",8,Sigmoid,8.717773588,8,-42.55801392,0.7124
1321N1_CENTRAL_NERVOUS_SYSTEM,1321N1,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-58,-7.5,-1.7,7.04,-58,-70,-73,-73","43.3,11.5,3.65,2.85,.28,.18,3.31,.64",8,Sigmoid,0.193676725,0.22807844,-72.12380981,3.0302
1321N1_CENTRAL_NERVOUS_SYSTEM,1321N1,PHA-665752,c-MET,".0025,.0080,.025,.080,.25,.80,2.53,8","-13,-8.0,4.74,3.46,2.33,3.56,.21,-20","19.2,17.4,8.43,10.0,5.25,9.71,4.39,6.38",8,Constant,NA,8,-0.7846331,0.08719
1321N1_CENTRAL_NERVOUS_SYSTEM,1321N1,Lapatinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","6.84,-7.8,8.08,11.2,1.53,-9.5,-11,-21","1.22,2.38,6.87,.92,5.01,8.42,3.70,3.42",8,Sigmoid,1.240993977,8,-19.92614555,0.1101
1321N1_CENTRAL_NERVOUS_SYSTEM,1321N1,Nutlin-3,MDM2,".0025,.0080,.025,.080,.25,.80,2.53,8","-26,-24,-7.0,-3.4,7.36,-5.8,-2.3,-22","7.06,7.76,2.99,6.25,7.74,17.5,10.3,.42",8,Constant,NA,8,-9.060379982,0.2136
22RV1_PROSTATE,22Rv1,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8",".94,12.5,-14,4.16,-25,-32,-52,-71","1.95,13.3,6.98,21.8,16.0,18.8,4.84,7.93",8,Sigmoid,8.165163646,2.329924107,-71.58934021,1.6723
22RV1_PROSTATE,22Rv1,Nilotinib,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","9.98,7.66,-2.2,15.1,29.5,21.2,12.3,-14","8.09,9.32,1.62,23.4,9.24,24.0,51.4,33.4",8,Constant,NA,8,6.651839256,0.1278
22RV1_PROSTATE,22Rv1,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-5.9,-14,-.068,-15,-38,-71,-74,-80",".35,8.56,.53,21.6,1.08,1.37,3.71,2.17",8,Sigmoid,0.267214537,0.329701692,-76.30148315,3.0622
22RV1_PROSTATE,22Rv1,PHA-665752,c-MET,".0025,.0080,.025,.080,.25,.80,2.53,8","-3.5,-12,-12,-9.1,11.5,2.60,-19,-34","3.43,15.5,3.81,5.03,15.8,4.14,7.24,5.64",8,Sigmoid,2.53306222,8,-33.66983795,0.9168
22RV1_PROSTATE,22Rv1,Lapatinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","9.09,17.4,-5.5,8.12,4.89,-5.0,-5.9,-52","5.00,27.6,1.39,21.9,7.01,9.62,9.04,14.1",8,Sigmoid,8.40245823,7.847305298,-51.29292297,0.5246
42MGBA_CENTRAL_NERVOUS_SYSTEM,42-MG-BA,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","8.91,8.39,-3.5,12.4,-.55,-6.2,-48,-63","13.7,7.70,11.1,6.43,24.0,9.57,9.57,10.4",8,Sigmoid,1.514508486,2.68212986,-63.49137115,1.1852
42MGBA_CENTRAL_NERVOUS_SYSTEM,42-MG-BA,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-4.2,-62,-19,-72,-69,-84,-78,-91","19.1,42.8,13.5,6.12,7.84,16.9,5.98,7.26",8,Sigmoid,0.052080587,0.053038094,-80.37766266,5.0587
42MGBA_CENTRAL_NERVOUS_SYSTEM,42-MG-BA,PHA-665752,c-MET,".0025,.0080,.025,.080,.25,.80,2.53,8","-4.1,4.65,11.5,-23,11.8,-17,-8.7,-61","21.4,5.02,9.79,10.1,5.12,3.49,19.9,31.6",8,Constant,NA,8,-14.78079414,1.0796
42MGBA_CENTRAL_NERVOUS_SYSTEM,42-MG-BA,Lapatinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","-2.1,26.6,-4.3,21.2,-16,18.8,-13,-35","9.26,6.65,3.41,5.71,5.24,6.29,1.32,7.44",8,Linear,NA,8,-37.04719543,0.6577
42MGBA_CENTRAL_NERVOUS_SYSTEM,42-MG-BA,Nutlin-3,MDM2,".0025,.0080,.025,.080,.25,.80,2.53,8","3.44,-23,-2.9,-38,19.3,1.75,23.6,-12","2.63,10.5,4.07,.31,12.2,2.37,16.5,16.5",8,Constant,NA,8,-0.00236876,0.8625
5637_URINARY_TRACT,5637,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","2.15,9.91,-3.5,.056,-2.1,-14,-30,-62","4.05,9.75,12.7,4.36,11.0,10.0,24.6,.14",8,Sigmoid,8.006595166,5.002314091,-62.35277557,0.9948
5637_URINARY_TRACT,5637,Nilotinib,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","4.61,7.01,10.7,1.01,18.4,6.73,2.73,-57",".57,20.6,11.9,18.8,2.13,13.5,8.22,19.0",8,Sigmoid,8.104518587,7.475354671,-56.44226074,0.5269
5637_URINARY_TRACT,5637,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","3.24,-2.6,9.10,-35,-87,-91,-91,-92","5.69,14.8,29.2,30.4,5.11,.39,1.98,.041",8,Sigmoid,0.060907152,0.07082279,-91.65148163,3.535
5637_URINARY_TRACT,5637,PHA-665752,c-MET,".0025,.0080,.025,.080,.25,.80,2.53,8","4.73,-4.6,3.21,1.34,10.4,-5.0,13.8,-9.8","6.35,9.11,8.29,6.39,4.41,6.81,12.8,7.74",8,Constant,NA,8,-0.547142625,0
5637_URINARY_TRACT,5637,Lapatinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8","-8.4,3.12,-6.6,-2.1,-17,-19,-53,-74","7.26,1.60,1.52,20.3,15.5,1.93,8.82,.86",8,Sigmoid,1.811544776,2.30776763,-74.52197266,1.089
639V_URINARY_TRACT,639-V,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","11.8,-7.3,-9.4,-15,-11,-21,-53,-50",".95,5.67,11.1,.68,31.6,22.3,1.45,3.08",8,Sigmoid,0.931195736,1.736181378,-51.95980835,1.5436
639V_URINARY_TRACT,639-V,Nilotinib,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","6.81,-15,-5.1,-4.5,2.62,3.57,2.79,-48","14.2,1.70,5.72,14.8,8.81,5.32,9.99,2.62",8,Sigmoid,6.535492897,8,-48.34093094,0.5869
639V_URINARY_TRACT,639-V,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-10,-14,-1.2,-23,-74,-87,-90,-91","6.48,.16,2.77,2.31,4.07,1.69,.035,.036",8,Sigmoid,0.147929892,0.150094494,-89.6390686,3.782
639V_URINARY_TRACT,639-V,PHA-665752,c-MET,".0025,.0080,.025,.080,.25,.80,2.53,8","12.9,-1.3,9.89,5.19,11.8,-6.0,-12,-36","5.91,7.02,12.2,2.54,10.4,20.5,10.7,45.3",8,Constant,NA,8,3.05075407,0.3701
639V_URINARY_TRACT,639-V,Lapatinib,EGFR,".0025,.0080,.025,.080,.25,.80,2.53,8",".74,-17,3.71,1.11,-.88,.91,9.23,-3.1","12.4,.27,4.41,13.9,7.06,2.89,10.2,27.2",8,Constant,NA,8,1.585909843,0.1402
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,697,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","18.4,4.65,8.64,19.3,-19,-20,-21,-78","25.4,1.92,15.0,23.1,24.7,13.5,1.26,2.51",8,Sigmoid,8.700654505,4.260821819,-73.33378601,1.7665
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,697,Nilotinib,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","3.03,-2.2,16.8,14.5,-10,-29,-54,-65","3.20,6.42,4.28,2.12,2.89,.26,.65,3.04",8,Sigmoid,0.793680906,1.910434365,-64.45037079,2.1147
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,697,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-13,-1.1,17.2,7.23,-24,-77,-91,-92","11.4,20.7,2.72,12.3,25.4,.66,.83,1.75",8,Sigmoid,0.378334939,0.422571242,-91.79781342,3.6605
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,697,PHA-665752,c-MET,".0025,.0080,.025,.080,.25,.80,2.53,8","6.53,6.19,-4.7,11.2,-5.0,-14,-42,-87","10.2,7.78,7.88,12.8,18.2,22.6,14.5,16.3",8,Sigmoid,3.420485258,3.275441885,-97.87788391,1.8775
